scheme_code,scheme_name,fund_house,category,sub_category,risk_grade,scheme_type,launch_date,benchmark,exit_load_pct,min_sip
125497,HDFC Mutual Fund Large Cap Fund Direct Growth,HDFC Mutual Fund,Equity,Large Cap,Low,Open Ended,2010-01-01,Nifty 50,0.0,1000
119551,SBI Mutual Fund Mid Cap Fund Direct Growth,SBI Mutual Fund,Debt,Mid Cap,Moderate,Close Ended,2010-06-30,Nifty 100,1.0,1000
120503,ICICI Prudential Small Cap Fund Direct Growth,ICICI Prudential,Hybrid,Small Cap,Moderately High,Interval,2010-12-27,BSE 500,0.5,500
118632,Nippon India Flexi Cap Fund Direct Growth,Nippon India,Solution Oriented,Flexi Cap,High,Open Ended,2011-06-25,Nifty Midcap 150,0.5,5000
119092,Axis Mutual Fund ELSS Fund Direct Growth,Axis Mutual Fund,Other,ELSS,Very High,Close Ended,2011-12-22,Nifty Smallcap 250,0.5,5000
120841,Kotak Mahindra Liquid Fund Direct Growth,Kotak Mahindra,Equity,Liquid,Low,Interval,2012-06-19,Nifty 50,1.0,1000
118989,Mirae Asset Short Duration Fund Direct Growth,Mirae Asset,Debt,Short Duration,Moderate,Open Ended,2012-12-16,Nifty 100,0.0,1000
120594,DSP Mutual Fund Balanced Advantage Fund Direct Growth,DSP Mutual Fund,Hybrid,Balanced Advantage,Moderately High,Close Ended,2013-06-14,BSE 500,1.0,5000
119775,Franklin Templeton Large Cap Fund Direct Growth,Franklin Templeton,Solution Oriented,Large Cap,High,Interval,2013-12-11,Nifty Midcap 150,0.0,1000
118825,UTI Mutual Fund Mid Cap Fund Direct Growth,UTI Mutual Fund,Other,Mid Cap,Very High,Open Ended,2014-06-09,Nifty Smallcap 250,0.0,1000
120465,HDFC Mutual Fund Small Cap Fund Direct Growth,HDFC Mutual Fund,Equity,Small Cap,Low,Close Ended,2014-12-06,Nifty 50,0.5,1000
119386,SBI Mutual Fund Flexi Cap Fund Direct Growth,SBI Mutual Fund,Debt,Flexi Cap,Moderate,Interval,2015-06-04,Nifty 100,1.0,500
118551,ICICI Prudential ELSS Fund Direct Growth,ICICI Prudential,Hybrid,ELSS,Moderately High,Open Ended,2015-12-01,BSE 500,1.0,500
120178,Nippon India Liquid Fund Direct Growth,Nippon India,Solution Oriented,Liquid,High,Close Ended,2016-05-29,Nifty Midcap 150,1.0,1000
119203,Axis Mutual Fund Short Duration Fund Direct Growth,Axis Mutual Fund,Other,Short Duration,Very High,Interval,2016-11-25,Nifty Smallcap 250,1.0,5000
118712,Kotak Mahindra Balanced Advantage Fund Direct Growth,Kotak Mahindra,Equity,Balanced Advantage,Low,Open Ended,2017-05-24,Nifty 50,1.0,500
120333,Mirae Asset Large Cap Fund Direct Growth,Mirae Asset,Debt,Large Cap,Moderate,Close Ended,2017-11-20,Nifty 100,0.5,5000
119644,DSP Mutual Fund Mid Cap Fund Direct Growth,DSP Mutual Fund,Hybrid,Mid Cap,Moderately High,Interval,2018-05-19,BSE 500,0.0,5000
118890,Franklin Templeton Small Cap Fund Direct Growth,Franklin Templeton,Solution Oriented,Small Cap,High,Open Ended,2018-11-15,Nifty Midcap 150,1.0,500
120712,UTI Mutual Fund Flexi Cap Fund Direct Growth,UTI Mutual Fund,Other,Flexi Cap,Very High,Close Ended,2019-05-14,Nifty Smallcap 250,0.5,1000
