scheme_code,scheme_name,fund_house,category,sub_category,risk_grade,scheme_type,launch_date,benchmark,exit_load_pct,min_sip
125497,HDFC Mutual Fund Large Cap Fund Direct Growth,HDFC Mutual Fund,Equity,Large Cap,Low,Open Ended,01-01-2010,Nifty 50,0.0,500
119551,SBI Mutual Fund Mid Cap Fund Direct Growth,SBI Mutual Fund,Debt,Mid Cap,Moderate,Close Ended,01-04-2010,Nifty 100,1.0,5000
120503,ICICI Prudential Small Cap Fund Direct Growth,ICICI Prudential,Hybrid,Small Cap,Moderately High,Interval,30-06-2010,BSE 500,0.5,5000
118632,Nippon India Flexi Cap Fund Direct Growth,Nippon India,Solution Oriented,Flexi Cap,High,Open Ended,28-09-2010,Nifty Midcap 150,0.5,1000
119092,Axis Mutual Fund ELSS Fund Direct Growth,Axis Mutual Fund,Other,ELSS,Very High,Close Ended,27-12-2010,Nifty Smallcap 250,0.5,500
120841,Kotak Mahindra Liquid Fund Direct Growth,Kotak Mahindra,Equity,Liquid,Low,Interval,27-03-2011,Nifty 50,1.0,5000
118989,Mirae Asset Short Duration Fund Direct Growth,Mirae Asset,Debt,Short Duration,Moderate,Open Ended,25-06-2011,Nifty 100,0.0,1000
120594,DSP Mutual Fund Balanced Advantage Fund Direct Growth,DSP Mutual Fund,Hybrid,Balanced Advantage,Moderately High,Close Ended,23-09-2011,BSE 500,1.0,5000
119775,Franklin Templeton Large Cap Fund Direct Growth,Franklin Templeton,Solution Oriented,Large Cap,High,Interval,22-12-2011,Nifty Midcap 150,0.0,5000
118825,UTI Mutual Fund Mid Cap Fund Direct Growth,UTI Mutual Fund,Other,Mid Cap,Very High,Open Ended,21-03-2012,Nifty Smallcap 250,0.0,5000
120465,Tata Mutual Fund Small Cap Fund Direct Growth,Tata Mutual Fund,Equity,Small Cap,Low,Close Ended,19-06-2012,Nifty 50,0.5,5000
119386,Aditya Birla Flexi Cap Fund Direct Growth,Aditya Birla,Debt,Flexi Cap,Moderate,Interval,17-09-2012,Nifty 100,1.0,500
118551,Canara Robeco ELSS Fund Direct Growth,Canara Robeco,Hybrid,ELSS,Moderately High,Open Ended,16-12-2012,BSE 500,1.0,1000
120178,PGIM India Liquid Fund Direct Growth,PGIM India,Solution Oriented,Liquid,High,Close Ended,16-03-2013,Nifty Midcap 150,1.0,1000
119203,Invesco India Short Duration Fund Direct Growth,Invesco India,Other,Short Duration,Very High,Interval,14-06-2013,Nifty Smallcap 250,1.0,1000
118712,Edelweiss Balanced Advantage Fund Direct Growth,Edelweiss,Equity,Balanced Advantage,Low,Open Ended,12-09-2013,Nifty 50,1.0,500
120333,Motilal Oswal Large Cap Fund Direct Growth,Motilal Oswal,Debt,Large Cap,Moderate,Close Ended,11-12-2013,Nifty 100,0.5,1000
119644,Sundaram Mid Cap Fund Direct Growth,Sundaram,Hybrid,Mid Cap,Moderately High,Interval,11-03-2014,BSE 500,0.0,500
118890,L&T Mutual Fund Small Cap Fund Direct Growth,L&T Mutual Fund,Solution Oriented,Small Cap,High,Open Ended,09-06-2014,Nifty Midcap 150,1.0,5000
120712,Quantum Mutual Fund Flexi Cap Fund Direct Growth,Quantum Mutual Fund,Other,Flexi Cap,Very High,Close Ended,07-09-2014,Nifty Smallcap 250,0.5,5000
121001,HDFC Mutual Fund ELSS Fund Direct Growth,HDFC Mutual Fund,Equity,ELSS,Low,Interval,06-12-2014,Nifty 50,0.5,5000
121002,SBI Mutual Fund Liquid Fund Direct Growth,SBI Mutual Fund,Debt,Liquid,Moderate,Open Ended,06-03-2015,Nifty 100,0.5,5000
121003,ICICI Prudential Short Duration Fund Direct Growth,ICICI Prudential,Hybrid,Short Duration,Moderately High,Close Ended,04-06-2015,BSE 500,0.0,1000
121004,Nippon India Balanced Advantage Fund Direct Growth,Nippon India,Solution Oriented,Balanced Advantage,High,Interval,02-09-2015,Nifty Midcap 150,1.0,5000
